Loading data ...
Loaded dataset.shape = (93651, 1049)
Transpose dataset.shape = (1048, 93651)
Data loaded and ordered.

==================== Feature size = 50 ====================
Random forest and DQN initialising ...   done.
Pre-processing data ...   done.
Representation learning ...   done.
One hot encoding data ...   done.

198/1000: r = 0.64, accuracy = 84.76%
199/1000: r = 0.71, accuracy = 84.76%
200/1000: r = 0.71, accuracy = 84.76%
201/1000: r = 0.69, accuracy = 83.81%
202/1000: r = 0.65, accuracy = 85.71%
203/1000: r = 0.68, accuracy = 84.76%
204/1000: r = 0.68, accuracy = 84.76%
205/1000: r = 0.65, accuracy = 84.76%
206/1000: r = 0.73, accuracy = 87.62%
207/1000: r = 0.78, accuracy = 88.57%
208/1000: r = 0.73, accuracy = 86.67%
209/1000: r = 0.71, accuracy = 86.67%
210/1000: r = 0.66, accuracy = 86.67%
211/1000: r = 0.80, accuracy = 89.52%
212/1000: r = 0.67, accuracy = 89.52%
213/1000: r = 0.69, accuracy = 85.71%
214/1000: r = 0.75, accuracy = 85.71%
215/1000: r = 0.69, accuracy = 88.57%
216/1000: r = 0.77, accuracy = 88.57%
217/1000: r = 0.68, accuracy = 86.67%
218/1000: r = 0.70, accuracy = 86.67%
219/1000: r = 0.74, accuracy = 86.67%
220/1000: r = 0.77, accuracy = 87.62%
221/1000: r = 0.72, accuracy = 87.62%
222/1000: r = 0.74, accuracy = 87.62%
223/1000: r = 0.75, accuracy = 88.57%
224/1000: r = 0.77, accuracy = 88.57%
225/1000: r = 0.72, accuracy = 88.57%
226/1000: r = 0.71, accuracy = 88.57%
227/1000: r = 0.73, accuracy = 88.57%
228/1000: r = 0.71, accuracy = 87.62%
229/1000: r = 0.77, accuracy = 87.62%
230/1000: r = 0.76, accuracy = 87.62%
231/1000: r = 0.81, accuracy = 88.57%
232/1000: r = 0.74, accuracy = 88.57%
233/1000: r = 0.76, accuracy = 90.48%
234/1000: r = 0.79, accuracy = 90.48%
235/1000: r = 0.74, accuracy = 90.48%
236/1000: r = 0.75, accuracy = 90.48%
237/1000: r = 0.71, accuracy = 90.48%
238/1000: r = 0.72, accuracy = 90.48%
239/1000: r = 0.72, accuracy = 91.43%
240/1000: r = 0.82, accuracy = 91.43%
241/1000: r = 0.70, accuracy = 89.52%
242/1000: r = 0.80, accuracy = 89.52%
243/1000: r = 0.73, accuracy = 89.52%
244/1000: r = 0.72, accuracy = 89.52%
245/1000: r = 0.74, accuracy = 89.52%
